Place,Car Num,Team,Penalty,Cost Score,Presentation Score,Design Score,Acceleration Score,Skid Pad Score,Autocross Score,Endurance Score,Efficiency Score,Total Score
,,,,,,,3.821,4.933,45.734,1369.936,62.27|0.0967|0.333|0.848,
1,275,Oregon State Univ,,75.2,18.9,120,84,75,120.3,248.4,48.7,790.4
2,205,San Jose State University,,86.6,63.4,115,71.5,53.9,119.9,275,,785.2
3,204,Georgia Institute of Technology,,82.1,15,135,100,72.8,114.7,187.3,65.2,772.2
4,202,Ecole Polytechnique Montreal,,78.6,26,110,76.7,57.9,123.1,250.5,33.2,756.1
5,208,Univ of Washington,,76.8,59.7,105,95.6,63.6,125,166.7,61.2,753.5
6,209,Univ of Pittsburgh - Pittsburgh,,81.3,67.9,100,58.7,45.4,102.9,195,72.2,723.4
7,212,National Univ of Singapore,,73.4,64.3,125,69.8,64.3,113.1,127.4,71.3,708.6
8,201,Rochester Institute of Technology,,72.1,75,100,99.9,74.4,43.2,166.1,71,701.7
9,265,Massachusetts Inst of Tech,,72.2,58.5,110,69.5,45.3,106.5,72.1,63.6,597.6
10,270,Purdue Univ - W Lafayette,,86.4,17.3,105,24.8,54.7,108.2,140.5,56,593.0
11,253,California Polytechnic State Univ-SLO,,78.8,54.5,125,32.5,74.8,113.1,23,90.9,592.5
12,203,Univ of Wisconsin - Madison,,82,60.1,150,75.4,73.4,123.7,2,,566.6
13,299,Carnegie Mellon Univ,,90.2,50,130,81.3,56.4,89,21,,518.0
14,301,Univ of Connecticut,,63.3,18.9,70,,,102.3,152.9,100,507.4
15,210,Univ of Toronto,,72.9,60.6,129,59.1,47,97.2,25,,490.8
16,222,Univ of Cincinnati,,42.7,19.6,65,54.2,39.8,84.6,120.2,57.2,483.4
17,248,Kookmin Univ,,72.8,44.1,120,48.7,50.6,110.2,14,,460.2
18,216,Univ of Calif - Santa Cruz,-20,42.2,51.5,75,48.8,44.1,6.5,118.8,76.6,443.5
19,268,Universit� Laval,,87.1,67.3,95,19.5,49.9,79.2,25,,423.0
20,274,Univ of Michigan - Ann Arbor,,75.3,65,115,96.5,36.9,,2,,390.6
21,279,Penn State Univ - University Park,-20,58.5,57.6,65,46.8,53,104.4,14,,379.3
22,206,Cornell Univ,,77.7,54.8,125,30.4,28.1,,22,,338.0
