l,r
4,10.455
3.427,0
3.086,-7.767
17.997,0
0.363,3.824
9.533,0
8.343,-8.537
7.499,0
7.366,8.503
3.756,0
0.244,-7.096
0.875,0
0.125,3.638
3.500,0
6.075,5.372
7.199,0
6.610,-5.452
32.244,0
3.621,8.938
2.719,0
7.135,-8.345
1.500,0
7.386,8.020
2.578,0
6.631,-6.331
2.079,0
2.697,4.024
18.500,0
2.593,-1.687
3.685,0
2.645,1.760
25.999,0
3.642,3.283
4.847,0
3.528,-2.732
28.999,0
3.250,4.565
13.500,0
10.432,-11.676
11.051,0
9.637,11.171
18.386,0
6.448,-9.737
32.179,0
0.423,6.692
7.783,0
6.086,-3.736
2.852,0
9.299,7.924
6.407,0
13.018,-5.320
19.935,0
8.656,-7.444
10.199,0
10.644,6.810
14.773,0
9.140,-9.165
5.380,0
18.209,19.278
4.606,0
8.414,-16.345
2.749,0
3.984,-18.230
4.770,0
10.958,14.251
12.269,0
8.476,-16.298
4.483,0
6.537,-12.959
0.500,0
5.779,6.785
6.185,0
8.064,-9.603
0.750,0
7.474,7.922
0.500,0
5.281,-13.461
3.476,0
6.954,-15.107
14.286,0
12.332,14.407
2.311,0
4.739,-9.415
19.668,0
0.257,1.346
34.482,0
