I,V,X,Y,A,s
1563.247,11.3,10.759,73.309,301.7,18.038
1563.607,9.922,11.069,76.975,301.7,18.042
1564.047,8.325,13.139,80.501,301.7,18.046
1564.527,7.953,13.304,84.195,301.7,18.05
1565.047,7.583,10.925,87.388,301.7,18.054
1565.567,8.536,7.283,89.193,301.675,18.058
1566.007,9.917,3.807,90.665,301.6,18.062
1566.407,10.936,-0.145,92.109,301.525,18.066
1566.767,11.703,-4.055,92.303,301.475,18.07
1567.087,12.044,-8.028,92.22,301.4,18.074
1567.407,12.389,-11.67,90.998,301.4,18.078
1567.727,12.675,-14.98,88.554,301.375,18.082
1568.047,12.761,-17.628,85.444,301.3,18.086
1568.367,13.4,-19.532,81.751,301.3,18.09
1568.647,14.011,-20.628,78.085,301.3,18.094
1568.927,14.381,-21.27,74.226,301.3,18.098
1569.207,15.164,-21.436,70.31,301.3,18.102
1569.447,15.661,-21.932,65.867,301.3,18.106
1569.727,16.239,-22.098,61.869,301.3,18.11
1569.967,16.719,-22.243,57.898,301.3,18.114
1570.207,17.067,-22.677,53.871,301.375,18.118
1570.447,17.383,-23.318,50.317,301.4,18.122
1570.647,17.694,-24.725,46.29,301.4,18.126
1570.887,18.058,-25.987,42.542,301.4,18.13
1571.087,18.372,-27.581,39.32,301.375,18.134
1571.327,18.619,-29.029,35.46,301.3,18.138
1571.527,18.858,-30.125,31.434,301.3,18.142
1571.727,19.003,-30.892,27.547,301.3,18.146
1571.967,19.356,-31.699,23.631,301.3,18.151
1572.167,19.536,-32.195,19.438,301.325,18.154
1572.367,19.811,-32.629,15.551,301.4,18.158
1572.567,19.875,-32.774,11.663,301.4,18.162
1572.767,20.131,-32.939,7.692,301.4,18.166
1572.967,20.35,-33.602,3.666,301.4,18.17
1573.167,20.617,-34.243,-0.444,301.4,18.174
1573.367,20.75,-34.844,-4.471,301.4,18.179
1573.527,20.906,-35.774,-8.275,301.475,18.182
1573.727,21.064,-36.084,-12.552,301.5,18.186
1573.927,21.267,-36.747,-15.995,301.5,18.19
1574.127,21.411,-37.843,-20.216,301.5,18.195
1574.287,21.597,-38.981,-24.353,301.5,18.198
1574.487,21.786,-39.292,-27.658,301.5,18.202
1574.647,21.869,-40.368,-31.545,301.5,18.206
1574.847,22.089,-41.63,-35.516,301.5,18.21
1575.007,22.189,-42.892,-39.654,301.5,18.214
1575.207,22.383,-44.174,-42.903,301.5,18.218
1575.367,22.461,-45.913,-46.874,301.5,18.222
1575.567,22.608,-47.485,-50.428,301.5,18.226
1575.727,22.628,-49.223,-54.343,301.5,18.23
1575.927,22.786,-50.961,-57.759,301.5,18.235
1576.087,22.825,-52.368,-61.341,301.425,18.238
1576.247,22.889,-53.63,-65.367,301.4,18.242
1576.447,23.011,-54.893,-69.199,301.4,18.246
1576.607,23.014,-55.534,-73.087,301.475,18.25
1576.807,23.108,-56.03,-77.419,301.5,18.255
1576.967,23.136,-56.196,-80.945,301.5,18.258
1577.127,23.067,-56.196,-84.639,301.5,18.262
1577.327,23.106,-56.03,-89.082,301.5,18.267
1577.487,23.083,-55.534,-93.109,301.5,18.27
1577.647,23.214,-54.893,-96.635,301.5,18.274
1577.807,23.342,-53.63,-100.967,301.5,18.278
1578.007,23.033,-52.823,-104.66,301.5,18.282
1578.167,22.581,-52.389,-108.52,301.5,18.286
1578.367,22.017,-52.389,-112.63,301.5,18.291
1578.527,21.483,-52.389,-116.962,301.525,18.294
1578.727,21.378,-52.989,-120.572,301.6,18.298
1578.927,21.219,-54.271,-124.598,301.6,18.303
1579.087,21.192,-55.534,-128.291,301.6,18.306
1579.287,21,-56.941,-131.706,301.6,18.31
1579.487,21.197,-58.989,-135.4,301.6,18.314
1579.687,21.269,-61.679,-138.593,301.6,18.319
1579.847,20.822,-63.727,-141.731,301.575,18.322
1580.047,19.411,-66.107,-144.813,301.5,18.326
1580.247,17.839,-68.465,-147.868,301.5,18.33
1580.487,16.075,-71.011,-151.173,301.5,18.334
1580.767,13.808,-73.225,-154.533,301.5,18.338
1581.087,12.403,-74.632,-158.392,301.5,18.342
1581.407,10.853,-74.777,-162.28,301.5,18.346
1581.807,10.703,-75.232,-166.195,301.5,18.35
1582.167,10.739,-77.466,-169.833,301.5,18.354
1582.527,10.894,-79.514,-172.915,301.5,18.358
1582.887,11.058,-80.611,-176.609,301.5,18.362
1583.247,11.244,-80.777,-180.719,301.5,18.366
1583.607,11.439,-81.418,-184.467,301.5,18.37
1583.967,11.689,-82.99,-187.827,301.5,18.374
1584.287,12.014,-85.391,-191.02,301.5,18.378
1584.607,12.911,-87.584,-194.492,301.475,18.382
1584.927,13.667,-88.991,-198.518,301.4,18.386
1585.207,14.236,-90.273,-202.378,301.4,18.39
1585.487,14.972,-91.37,-206.043,301.4,18.394
1585.767,15.392,-91.536,-210.153,301.4,18.398
1586.007,15.878,-91.37,-214.124,301.4,18.402
1586.247,16.086,-90.273,-217.817,301.425,18.406
1586.487,16.506,-88.991,-221.483,301.5,18.41
1586.727,16.961,-87.729,-225.453,301.5,18.414
1586.967,17.436,-86.632,-229.702,301.5,18.418
1587.207,17.7,-85.99,-233.701,301.5,18.422
1587.407,17.917,-85.825,-237.255,301.5,18.426
1587.647,18.222,-85.825,-241.448,301.5,18.43
1587.847,18.442,-86.322,-245.364,301.575,18.434
1588.087,18.858,-86.632,-249.251,301.6,18.438
1588.287,19.061,-87.232,-253.5,301.6,18.442
1588.487,19.425,-87.895,-257.138,301.525,18.446
1588.687,19.617,-88.536,-261.136,301.5,18.45
1588.927,19.942,-89.632,-265.357,301.5,18.455
1589.127,20.122,-90.439,-269.245,301.475,18.459
1589.327,20.306,-91.37,-272.993,301.4,18.463
1589.487,20.564,-92.136,-276.798,301.4,18.466
1589.687,20.767,-93.419,-280.714,301.4,18.47
1589.887,20.958,-94.681,-284.573,301.4,18.474
1590.087,21.161,-95.488,-288.794,301.4,18.478
1590.287,20.842,-96.087,-292.682,301.4,18.483
1590.487,19.217,-97.185,-296.43,301.4,18.487
1590.687,17.683,-98.322,-300.457,301.4,18.49
1590.927,15.875,-98.633,-304.15,301.4,18.494
1591.167,14.236,-100.205,-307.677,301.4,18.498
1591.487,12.764,-101.778,-311.453,301.4,18.502
1591.807,11.986,-104.612,-314.091,301.4,18.506
1592.127,11.583,-108.088,-315.674,301.375,18.51
1592.487,11.478,-112.04,-316.563,301.3,18.514
1592.847,11.611,-116.116,-317.479,301.3,18.518
1593.167,11.95,-119.427,-319.367,301.275,18.522
1593.487,12.369,-122.137,-322.255,301.275,18.526
1593.807,12.858,-124.372,-325.56,301.3,18.53
1594.127,13.364,-125.613,-329.558,301.3,18.534
1594.407,13.833,-126.71,-333.446,301.3,18.538
1594.727,12.667,-127.372,-337.528,301.3,18.542
1595.087,10.514,-126.875,-341.221,301.3,18.546
1595.447,9.689,-124.806,-344.248,301.3,18.55
1595.887,8.747,-121.02,-345.886,301.3,18.554
1596.407,8.814,-117.565,-344.914,301.325,18.558
1596.807,8.967,-114.089,-342.471,301.4,18.562
1597.287,9.986,-108.751,-340.666,301.425,18.567
1597.927,10.3,-103.081,-341.777,301.5,18.573
1598.287,10.542,-101.488,-341.999,301.5,18.577
1598.487,10.578,-98.922,-341.777,301.575,18.579
1598.767,10.481,-95.467,-340.027,301.6,18.582
1599.167,10.058,-92.922,-336.778,301.675,18.586
1599.567,10.064,-92.115,-333.03,301.7,18.59
1599.927,11.044,-91.97,-328.892,301.7,18.594
1600.287,11.989,-90.729,-325.115,301.7,18.598
1600.607,12.419,-88.37,-322.366,301.7,18.602
1600.927,13.025,-85.37,-319.2,301.7,18.606
1601.247,13.753,-82.825,-316.118,301.775,18.61
1601.527,14.303,-80.777,-312.925,301.8,18.614
1601.807,14.814,-79.038,-309.232,301.8,18.618
1602.047,15.422,-77.777,-304.9,301.8,18.622
1602.327,15.883,-76.369,-301.262,301.8,18.626
1602.567,16.269,-75.232,-297.569,301.8,18.63
1602.807,16.417,-75.066,-293.681,301.8,18.634
1603.047,16.044,-75.562,-289.711,301.725,18.638
1603.287,15.683,-76.825,-285.684,301.675,18.642
1603.567,15.439,-78.273,-282.213,301.6,18.646
1603.807,14.8,-79.37,-278.353,301.6,18.65
1604.087,14.072,-79.535,-274.132,301.6,18.654
1604.407,13.542,-79.038,-270.356,301.6,18.658
1604.687,13.197,-77.466,-266.94,301.6,18.662
1605.007,13.375,-74.921,-263.58,301.625,18.666
1605.287,13.844,-72.728,-260.165,301.7,18.67
1605.567,14.339,-70.824,-256.471,301.725,18.674
1605.847,14.678,-69.872,-252.889,301.8,18.678
1606.127,15.211,-68.941,-249.029,301.8,18.682
1606.367,15.711,-68.776,-245.142,301.8,18.686
1606.647,16.261,-68.776,-240.699,301.8,18.691
1606.887,16.694,-68.776,-236.478,301.775,18.694
1607.127,17.178,-68.776,-232.451,301.7,18.698
1607.327,17.525,-68.631,-229.147,301.7,18.702
1607.567,17.861,-68.197,-224.704,301.7,18.706
1607.807,18.322,-67.7,-220.872,301.7,18.71
1608.007,18.622,-67.038,-216.734,301.7,18.714
1608.207,18.933,-66.272,-212.819,301.7,18.718
1608.447,19.208,-65.631,-209.043,301.7,18.723
1608.647,19.436,-64.99,-205.294,301.7,18.726
1608.847,19.672,-64.223,-201.267,301.7,18.73
1609.047,19.969,-63.086,-197.38,301.7,18.734
1609.247,20.164,-62.32,-193.52,301.7,18.738
